seed_idx,estimate
851,274442.4644517619
970,281369.59475194284
171,283144.131229091
543,283198.30592878885
593,295275.39947758295
719,273557.3728250299
41,288299.2203430332
78,277353.8412095716
230,286823.19154479384
440,294744.4218722665
729,286230.65358416404
779,273176.62403152336
259,294058.88407593605
420,269450.40307248343
434,283686.76192860067
693,266915.6133798169
800,283318.69804256107
98,283754.43214640295
270,299608.5642340849
438,280898.1666596776
524,289122.7646811441
613,287098.3751705696
669,268994.25033431343
828,296490.45068133395
0,288720.7986008702
263,283120.757237868
349,279313.6287444124
357,291748.0298543553
425,267189.05739738216
584,278420.37231579685
776,270525.06816084386
824,286008.79859408457
880,289668.2326087238
941,287267.67106212344
211,278669.5156090162
587,285946.64766833856
17,290972.2478725952
118,282897.33085432055
197,287549.63140386494
646,291759.63360836555
899,276338.2396448961
906,285350.53389988106
957,283840.0314068779
976,287314.16149996605
142,296672.7576007962
293,277341.02487448964
342,283610.392301058
681,285887.6315596852
122,285760.691841589
250,271176.5408592398
619,272304.0174047972
622,302417.8920232047
944,293157.2716506516
111,265797.63471098803
381,272782.37473130267
390,291031.03675256844
423,267503.2387887782
458,278286.72976251587
822,285945.106013264
847,281520.8201333763
95,287280.50977437675
133,274799.8225662253
276,291884.75489995745
578,285045.5076865365
900,282433.91292780655
932,287936.52149289334
162,284411.879479952
567,270092.33577374474
904,281854.74063142476
344,284096.32432618504
405,291770.48610247555
456,293959.7884886664
688,278283.0641026653
721,283971.8861068573
934,288827.2150981224
18,294945.4488689486
103,291154.8917624101
159,265568.16239662824
386,262410.9536430637
439,283360.62509843585
455,293379.0876936778
467,299173.87701139203
687,293019.1624816813
755,288187.8983873052
916,278769.92560730735
334,273244.508525105
527,300043.1528431435
676,284781.56261965475
720,293773.8275730177
770,311714.36443014146
91,283464.67297836504
150,297108.33555657027
163,275032.49979660823
177,276627.99673512205
265,284600.0770417642
347,284852.87997424934
378,286066.01189973764
621,290445.7055305686
975,276145.4052486468
